City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
187,karagandy,49.8019,73.1021,-10.03,92,14,3.97,KZ,1709653860
188,alice springs,-23.7,133.8833,26.79,41,40,3.09,AU,1709653860
189,sinan,34.8262,126.1086,7.06,85,100,2.83,KR,1709653860
190,dunedin,-45.8742,170.5036,9.89,71,70,3.58,NZ,1709653860
191,saudarkrokur,65.7461,-19.6394,2.68,82,88,2.99,IS,1709653860
192,esmeraldas,-19.7625,-44.3139,30.48,71,56,2.86,BR,1709653860
193,auki,-8.7676,160.7034,25.61,88,98,0.48,SB,1709653860
194,iqaluit,63.7506,-68.5145,-30.73,61,20,7.2,CA,1709653860
195,suva,-18.1416,178.4415,23.71,100,20,1.03,FJ,1709653861
196,coronel suarez,-37.4547,-61.9334,23.2,26,0,0.93,AR,1709653861
197,lorengau,-2.0226,147.2712,27.21,81,89,1.74,PG,1709653861
198,uturoa,-16.7333,-151.4333,28.21,79,100,5.46,PF,1709653861
199,invercargill,-46.4,168.35,8.9,88,99,3.58,NZ,1709653843
200,nizhniy kuranakh,58.8353,125.4869,-12.52,96,100,2.35,RU,1709653861
201,san juan de miraflores,-12.1629,-76.9635,24.29,75,65,3.81,PE,1709653861
202,brazzaville,-4.2658,15.2832,30.21,65,98,2.94,CG,1709653862
203,kulhudhuffushi,6.6221,73.07,28.43,76,62,3.49,MV,1709653862
204,yarmouth,41.7057,-70.2286,7.28,97,100,3.6,US,1709653862
205,holualoa,19.6228,-155.9522,19.91,92,75,2.06,US,1709653862
206,sinabang,2.4803,96.3801,25.92,90,100,3.39,ID,1709653862
207,nova vicosa,-17.8919,-39.3719,31.47,59,43,4.77,BR,1709653862
208,minot air force base,48.4209,-101.3391,-16.9,71,100,2.06,US,1709653862
209,leava,-14.3,-178.1667,28.51,77,43,4.74,WF,1709653862
210,neon karlovasion,37.7903,26.7044,14.87,71,58,4.06,GR,1709653863
211,mumford,5.2618,-0.759,27.96,80,100,6.47,GH,1709653863
212,muli,2.9167,73.5667,27.99,70,74,2.73,MV,1709653863
213,arti,56.4234,58.5328,-5.33,96,99,2.21,RU,1709653867
214,vadso,70.0744,29.7487,-2.91,86,20,5.66,NO,1709653867
215,uray,60.1247,64.7758,-20.24,100,32,1.71,RU,1709653868
216,kazanskoye,55.6448,69.235,-2.33,94,100,4.71,RU,1709653868
217,banda aceh,5.5577,95.3222,26.84,80,86,1.7,ID,1709653868
218,urangan,-25.3,152.9,24.55,72,69,2.68,AU,1709653868
219,kone,-21.0595,164.8658,24.43,85,100,1.56,NC,1709653868
220,al jubayl,27.0112,49.6583,19.02,60,0,5.24,SA,1709653868
221,prado,-17.3411,-39.2208,29.72,67,35,4.89,BR,1709653868
222,aasiaat,68.7098,-52.8699,-21.27,97,58,1.76,GL,1709653868
223,santiago del torno,-17.9833,-63.3833,27.1,92,100,2.3,BO,1709653869
224,adam,22.3756,57.5233,25.18,60,100,5.55,OM,1709653869
225,al kharijah,25.4514,30.5464,24.45,14,0,4.44,EG,1709653869
226,howrah,22.5892,88.3103,25.0,69,0,0.0,IN,1709653869
227,el calafate,-50.3408,-72.2768,14.17,52,99,3.55,AR,1709653869
228,fisterra,42.9049,-9.2629,14.3,64,24,6.16,ES,1709653869
229,amahai,-3.3333,128.9167,26.77,85,100,1.44,ID,1709653870
230,selfoss,63.9331,-20.9971,5.58,73,100,10.74,IS,1709653870
231,miles city,46.4083,-105.8406,-7.46,86,100,2.06,US,1709653870
232,barah,13.7,30.3667,29.31,6,6,4.36,SD,1709653870
233,nantucket,41.2835,-70.0995,8.06,93,100,5.14,US,1709653637
234,bellary,15.15,76.9333,30.95,25,26,4.13,IN,1709653870
235,kruisfontein,-34.0033,24.7314,17.81,73,9,10.73,ZA,1709653870
236,st. john's,47.5649,-52.7093,3.71,53,100,3.58,CA,1709653838
237,meadow lake,34.8014,-106.5436,10.93,44,7,1.54,US,1709653871
238,rio grande,-32.035,-52.0986,25.06,39,0,4.92,BR,1709653871
239,vodice,43.7608,15.7828,17.98,77,83,4.07,HR,1709653871
240,oroqen zizhiqi,50.5667,123.7167,-19.04,97,62,1.38,CN,1709653871
241,egersund,58.4513,5.9997,6.63,71,10,7.98,NO,1709653597
242,fort wellington,6.4,-57.6,28.81,66,80,4.58,GY,1709653871
243,hotan,37.0997,79.9269,6.13,37,90,1.84,CN,1709653871
244,mount pearl,47.5166,-52.7813,3.25,53,100,2.68,CA,1709653872
245,puente alto,-33.6167,-70.5833,28.19,28,0,2.57,CL,1709653872
246,raybag,16.4833,74.7833,25.99,35,3,5.66,IN,1709653872
247,noumea,-22.2763,166.4572,23.99,82,100,3.24,NC,1709653335
248,avarua,-21.2078,-159.775,26.03,83,20,3.09,CK,1709653872
249,new norfolk,-42.7826,147.0587,12.62,85,1,1.34,AU,1709653872
250,belokany,41.7258,46.4083,10.05,63,45,2.12,AZ,1709653872
251,lerwick,60.1545,-1.1494,6.0,83,91,14.42,GB,1709653873
252,pandan,14.0453,124.1694,24.43,85,0,2.64,PH,1709653873
253,porto novo,6.4965,2.6036,30.9,62,99,5.31,BJ,1709653776
254,kitimat,54.0524,-128.6534,-10.79,83,20,1.46,CA,1709653873
255,shimoda,34.6667,138.95,5.61,92,100,11.41,JP,1709653873
256,severo-yeniseyskiy,60.3725,93.0408,-7.46,82,100,4.02,RU,1709653873
257,lipayran,11.0593,123.6342,27.23,76,0,3.59,PH,1709653873
258,hargeysa,9.56,44.065,24.47,62,23,5.02,SO,1709653856
